source_id,phot_g_mean_mag,bp_rp,parallax,h_m,j_m,ks_m,ph_qual
4184219300842016896,13.081346,0.6605406,0.8759127905788031,12.004,12.204,11.959,AAA
4184219537054190848,13.0996065,1.5174913,0.21928995060336262,10.482,11.148,10.325,AAA
4184219541360164096,13.181062,0.98669815,1.08784413816843,11.576,11.917,11.484,AAA
4184219743212620288,12.4864435,1.623786,0.16236257239417734,9.699,10.429,9.536,AAA
4184219747518601984,13.31099,0.9335785,1.7211974957956924,11.794,12.132,11.759,AAA
4184219781878349824,13.727556,0.76374817,0.8164983527231133,12.457,12.736,12.393,AAA
4184219919317342592,10.544704,1.0751085,4.807085383584367,8.763,9.193,8.654,AAA
4184219953677047168,13.616312,0.8006525,0.712446908709354,12.334,12.593,12.287,AAA
4184219983730788096,12.323318,1.398139,0.6067682608356691,9.931,10.537,9.787,AAA
4184219988036791040,13.667019,0.7729349,0.7465064047337733,12.485,12.678,12.415,AAA
4184220125475619328,12.371764,2.2446957,0.12261184748501439,8.843,9.755,8.578,AAA
4184220327328171904,11.179398,0.9230547,,9.333,9.637,9.203,AAA
4184220396047649408,13.128057,1.4755526,0.532950503211644,10.666,11.273,10.519,AAA
4184220464767125760,12.89721,1.392004,0.45612382312084576,10.519,11.124,10.37,AAA
4184220675231431168,12.699289,1.3669577,0.4612002066206427,10.396,10.949,10.236,AAA
4184220606512017024,13.003618,0.88477993,2.146103784319079,11.525,11.846,11.385,AEE
4184220778310661504,12.590132,2.2328005,0.14577478854107445,9.103,9.974,8.841,AAA
4184220847030142720,13.663238,0.75785923,1.057220422557516,12.407,12.692,12.386,AAA
4184221156267955328,13.793339,0.8615618,1.0837753451465788,12.365,12.675,12.294,AAA
4184221293706827904,13.766175,0.8389969,0.5997995159008006,12.432,12.672,12.328,AAA
4184221534225031168,12.637618,1.0993605,1.2846853729970906,10.833,11.177,10.685,AAA
4184221774743144960,13.658517,0.8376522,1.210695729846402,12.336,12.561,12.248,AAA
4184222255779537664,13.106699,0.96046925,0.9190506701800336,11.547,11.85,11.471,AAA
